"devicename","driverversion"
"System speaker","10.0.14393.2155"
"System timer","10.0.14393.2155"
"Numeric data processor","10.0.14393.2155"
"Programmable interrupt controller","10.0.14393.2155"
"System CMOS/real time clock","10.0.14393.2155"
"Direct memory access controller","10.0.14393.2155"
"PCI standard ISA bridge","10.0.14393.2155"
"USB Root Hub","10.0.14393.2339"
"Standard Enhanced PCI to USB Host Controller","10.0.14393.2339"
"iLO 5 (CHIF)","4.3.0.0"
"Matrox G200eh3 (HP) WDDM 2.0","4.3.3.3"
"iLO 5 (ASR)","4.2.0.0"
"PCI Express Root Port","10.0.14393.594"
"HPE Ethernet 1Gb 4-port 331i Adapter","212.0.0.0"
"HPE Ethernet 1Gb 4-port 331i Adapter","212.0.0.0"
"HPE Ethernet 1Gb 4-port 331i Adapter","212.0.0.0"
